ratio,c,kernel,gamma,degree,score
0.95,1,linear,,,0.686
0.95,1,poly,,1,0.721
0.95,1,poly,,2,0.716
0.95,1,poly,,3,0.721
0.95,1,poly,,4,0.719
0.95,1,poly,,5,0.722
0.95,1,poly,,6,0.721
0.95,1,rbf,auto,,0.719
0.95,1,rbf,scale,,0.717
0.95,1,rbf,0.01,,0.722
0.95,1,rbf,0.05,,0.717
0.95,1,rbf,0.1,,0.717
0.95,1,sigmoid,,,0.714
0.95,20,linear,,,0.692
0.95,20,poly,,1,0.684
0.95,20,poly,,2,0.614
0.95,20,poly,,3,0.708
0.95,20,poly,,4,0.687
0.95,20,poly,,5,0.719
0.95,20,poly,,6,0.694
0.95,20,rbf,auto,,0.676
0.95,20,rbf,scale,,0.683
0.95,20,rbf,0.01,,0.675
0.95,20,rbf,0.05,,0.689
0.95,20,rbf,0.1,,0.684
0.95,20,sigmoid,,,0.656
0.95,100,linear,,,0.683
0.95,100,poly,,1,0.676
0.95,100,poly,,2,0.565
0.95,100,poly,,3,0.635
0.95,100,poly,,4,0.659
0.95,100,poly,,5,0.713
0.95,100,poly,,6,0.671
0.95,100,rbf,auto,,0.678
0.95,100,rbf,scale,,0.671
0.95,100,rbf,0.01,,0.657
0.95,100,rbf,0.05,,0.668
0.95,100,rbf,0.1,,0.676
0.95,100,sigmoid,,,0.643
0.975,1,linear,,,0.684
0.975,1,poly,,1,0.721
0.975,1,poly,,2,0.719
0.975,1,poly,,3,0.722
0.975,1,poly,,4,0.721
0.975,1,poly,,5,0.722
0.975,1,poly,,6,0.722
0.975,1,rbf,auto,,0.724
0.975,1,rbf,scale,,0.717
0.975,1,rbf,0.01,,0.722
0.975,1,rbf,0.05,,0.719
0.975,1,rbf,0.1,,0.719
0.975,1,sigmoid,,,0.719
0.975,20,linear,,,0.69
0.975,20,poly,,1,0.69
0.975,20,poly,,2,0.657
0.975,20,poly,,3,0.714
0.975,20,poly,,4,0.702
0.975,20,poly,,5,0.716
0.975,20,poly,,6,0.711
0.975,20,rbf,auto,,0.646
0.975,20,rbf,scale,,0.64
0.975,20,rbf,0.01,,0.681
0.975,20,rbf,0.05,,0.649
0.975,20,rbf,0.1,,0.662
0.975,20,sigmoid,,,0.684
0.975,100,linear,,,0.687
0.975,100,poly,,1,0.69
0.975,100,poly,,2,0.557
0.975,100,poly,,3,0.681
0.975,100,poly,,4,0.676
0.975,100,poly,,5,0.719
0.975,100,poly,,6,0.702
0.975,100,rbf,auto,,0.635
0.975,100,rbf,scale,,0.625
0.975,100,rbf,0.01,,0.648
0.975,100,rbf,0.05,,0.637
0.975,100,rbf,0.1,,0.663
0.975,100,sigmoid,,,0.675
,1,linear,,,0.681
,1,poly,,1,0.722
,1,poly,,2,0.721
,1,poly,,3,0.722
,1,poly,,4,0.722
,1,poly,,5,0.722
,1,poly,,6,0.722
,1,rbf,auto,,0.721
,1,rbf,scale,,0.722
,1,rbf,0.01,,0.722
,1,rbf,0.05,,0.721
,1,rbf,0.1,,0.722
,1,sigmoid,,,0.722
,20,linear,,,0.705
,20,poly,,1,0.717
,20,poly,,2,0.69
,20,poly,,3,0.722
,20,poly,,4,0.719
,20,poly,,5,0.721
,20,poly,,6,0.722
,20,rbf,auto,,0.7
,20,rbf,scale,,0.679
,20,rbf,0.01,,0.695
,20,rbf,0.05,,0.671
,20,rbf,0.1,,0.681
,20,sigmoid,,,0.681
,100,linear,,,0.708
,100,poly,,1,0.683
,100,poly,,2,0.63
,100,poly,,3,0.713
,100,poly,,4,0.714
,100,poly,,5,0.721
,100,poly,,6,0.721
,100,rbf,auto,,0.675
,100,rbf,scale,,0.662
,100,rbf,0.01,,0.69
,100,rbf,0.05,,0.673
,100,rbf,0.1,,0.681
,100,sigmoid,,,0.67
