ratio,penalty,c,solver,score,probability
0.95,l1,1,liblinear,0.671,0.6781543302950658
0.95,l1,1,saga,0.692,0.7188957610155389
0.95,l1,10,liblinear,0.698,0.7156141085662996
0.95,l1,10,saga,0.694,0.7159637546505947
0.95,l1,20,liblinear,0.717,0.7736554393152055
0.95,l1,20,saga,0.697,0.7174774991044164
0.95,l1,50,liblinear,0.7,0.7290352701398523
0.95,l1,50,saga,0.69,0.7176562190493081
0.95,l1,100,liblinear,0.692,0.7096145771629732
0.95,l1,100,saga,0.689,0.7182311066201659
0.95,l2,1,newton-cg,0.705,0.7386950480250998
0.95,l2,1,lbfgs,0.705,0.7386912293465492
0.95,l2,1,sag,0.705,0.7283986993324969
0.95,l2,10,newton-cg,0.697,0.7393069853752674
0.95,l2,10,lbfgs,0.697,0.7392481053183216
0.95,l2,10,sag,0.7,0.7306039419290035
0.95,l2,20,newton-cg,0.697,0.7484996609387836
0.95,l2,20,lbfgs,0.697,0.7473261668442907
0.95,l2,20,sag,0.7,0.7292205044289848
0.95,l2,50,newton-cg,0.702,0.7524135516929435
0.95,l2,50,lbfgs,0.7,0.7548313319048603
0.95,l2,50,sag,0.702,0.7290447371230198
0.95,l2,100,newton-cg,0.706,0.7496205035222238
0.95,l2,100,lbfgs,0.705,0.7579622959785457
0.95,l2,100,sag,0.702,0.7285194667735704
0.975,l1,1,liblinear,0.662,0.6495441867668504
0.975,l1,1,saga,0.689,0.6894684343036226
0.975,l1,10,liblinear,0.684,0.726659067655412
0.975,l1,10,saga,0.692,0.695140242447701
0.975,l1,20,liblinear,0.694,0.7460973637685577
0.975,l1,20,saga,0.694,0.6963972908289521
0.975,l1,50,liblinear,0.702,0.7871183511720382
0.975,l1,50,saga,0.687,0.6962844925097829
0.975,l1,100,liblinear,0.705,0.7669887868237315
0.975,l1,100,saga,0.687,0.6959478020556832
0.975,l2,1,newton-cg,0.692,0.7216404977860587
0.975,l2,1,lbfgs,0.692,0.7216336229494036
0.975,l2,1,sag,0.692,0.7140884486603005
0.975,l2,10,newton-cg,0.695,0.7342631762841499
0.975,l2,10,lbfgs,0.694,0.7337910935980229
0.975,l2,10,sag,0.708,0.7140327063315064
0.975,l2,20,newton-cg,0.69,0.7495786957905031
0.975,l2,20,lbfgs,0.689,0.7469137117685318
0.975,l2,20,sag,0.705,0.7140353621522204
0.975,l2,50,newton-cg,0.697,0.760560319283183
0.975,l2,50,lbfgs,0.689,0.759614455158715
0.975,l2,50,sag,0.703,0.7126300935812031
0.975,l2,100,newton-cg,0.69,0.7628055813140874
0.975,l2,100,lbfgs,0.683,0.7599090086514132
0.975,l2,100,sag,0.703,0.7128581565951974
,l1,1,liblinear,0.722,0.7163406671435044
,l1,1,saga,0.717,0.7183005264051923
,l1,10,liblinear,0.711,0.735883812952453
,l1,10,saga,0.695,0.7082400214414145
,l1,20,liblinear,0.71,0.7293252232803736
,l1,20,saga,0.69,0.7086816954621018
,l1,50,liblinear,0.71,0.7254555023858117
,l1,50,saga,0.687,0.7100018255969945
,l1,100,liblinear,0.698,0.7178333075599664
,l1,100,saga,0.689,0.7098423171840474
,l2,1,newton-cg,0.702,0.7301229523537401
,l2,1,lbfgs,0.702,0.7300747880698365
,l2,1,sag,0.695,0.7178260372331157
,l2,10,newton-cg,0.697,0.7421761889605926
,l2,10,lbfgs,0.697,0.742019349631145
,l2,10,sag,0.698,0.7201572148370075
,l2,20,newton-cg,0.7,0.7434475617509269
,l2,20,lbfgs,0.7,0.7411509669298881
,l2,20,sag,0.698,0.7201459398475132
,l2,50,newton-cg,0.702,0.7437884770831843
,l2,50,lbfgs,0.697,0.731111988522793
,l2,50,sag,0.698,0.7203823760108164
,l2,100,newton-cg,0.705,0.743784926037369
,l2,100,lbfgs,0.69,0.717820397462817
,l2,100,sag,0.697,0.7203402905277463
